Dystans do przejścia: 20, dlugosc kroku: 2.3
1941:(x,y)=(-2.00891,11.8069)
1942:(x,y)=(-2.04045,11.4684)
1943:(x,y)=(-1.70874,11.543)
1944:(x,y)=(-1.36959,11.5671)
1945:(x,y)=(-1.46892,11.8922)
1946:(x,y)=(-1.19564,12.0945)
1947:(x,y)=(-1.01447,11.8068)
1948:(x,y)=(-1.19563,11.5191)
1949:(x,y)=(-0.856109,11.5371)
1950:(x,y)=(-1.1594,11.6908)
1951:(x,y)=(-0.899154,11.472)
1952:(x,y)=(-1.05417,11.1694)
1953:(x,y)=(-0.8459,10.9007)
1954:(x,y)=(-0.802382,10.5635)
1955:(x,y)=(-0.767843,10.9017)
1956:(x,y)=(-0.964024,11.1794)
1957:(x,y)=(-0.741793,11.4367)
1958:(x,y)=(-0.998127,11.6601)
1959:(x,y)=(-1.14777,11.3548)
1960:(x,y)=(-0.885605,11.5713)
1961:(x,y)=(-0.996381,11.8927)
1962:(x,y)=(-0.659372,11.8477)
1963:(x,y)=(-0.627817,11.5092)
1964:(x,y)=(-0.7555,11.8243)
1965:(x,y)=(-1.03747,11.6343)
1966:(x,y)=(-0.923849,11.3139)
1967:(x,y)=(-0.635341,11.4938)
1968:(x,y)=(-0.325561,11.6339)
1969:(x,y)=(-0.652016,11.5389)
1970:(x,y)=(-0.830634,11.8282)
1971:(x,y)=(-0.534444,11.6613)
1972:(x,y)=(-0.860899,11.5662)
1973:(x,y)=(-0.684848,11.2754)
1974:(x,y)=(-0.503677,10.9877)
1975:(x,y)=(-0.206025,11.152)
1976:(x,y)=(0.129672,11.0981)
1977:(x,y)=(0.211608,10.7681)
1978:(x,y)=(0.313809,10.4438)
1979:(x,y)=(0.135191,10.7331)
1980:(x,y)=(0.0649971,10.4004)
1981:(x,y)=(0.235871,10.1065)
1982:(x,y)=(-0.0860641,9.99714)
1983:(x,y)=(-0.10261,10.3367)
1984:(x,y)=(-0.429896,10.4288)
1985:(x,y)=(-0.626076,10.7065)
1986:(x,y)=(-0.591537,11.0448)
1987:(x,y)=(-0.257959,10.979)
1988:(x,y)=(0.018862,11.1764)
1989:(x,y)=(0.347725,11.2627)
1990:(x,y)=(0.606012,11.4838)
1991:(x,y)=(0.577455,11.8226)
1992:(x,y)=(0.563927,11.4829)
1993:(x,y)=(0.529377,11.8211)
1994:(x,y)=(0.775577,11.5867)
1995:(x,y)=(0.509619,11.7985)
1996:(x,y)=(0.193942,11.6722)
1997:(x,y)=(0.480853,11.4897)
1998:(x,y)=(0.482357,11.1497)
1999:(x,y)=(0.360273,11.4671)
2000:(x,y)=(0.184231,11.1762)
2001:(x,y)=(-0.076003,10.9574)
2002:(x,y)=(0.24782,10.8538)
2003:(x,y)=(0.0491978,10.5778)
2004:(x,y)=(-0.280416,10.4944)
2005:(x,y)=(-0.0125929,10.285)
2006:(x,y)=(0.327394,10.282)
2007:(x,y)=(0.126328,10.5561)
2008:(x,y)=(-0.121938,10.7884)
2009:(x,y)=(0.161698,10.9759)
2010:(x,y)=(0.501578,10.9669)
2011:(x,y)=(0.214674,10.7845)
2012:(x,y)=(0.299517,11.1137)
2013:(x,y)=(0.636526,11.0687)
2014:(x,y)=(0.382187,10.8431)
2015:(x,y)=(0.592824,11.11)
2016:(x,y)=(0.692141,11.4351)
2017:(x,y)=(0.723695,11.0966)
2018:(x,y)=(0.438411,10.9116)
2019:(x,y)=(0.133781,10.7606)
2020:(x,y)=(0.468471,10.7008)
2021:(x,y)=(0.212137,10.9242)
2022:(x,y)=(-0.102413,11.0532)
2023:(x,y)=(0.0390676,11.3624)
2024:(x,y)=(0.293414,11.1368)
2025:(x,y)=(0.0293471,10.9226)
2026:(x,y)=(-0.0955319,10.6063)
2027:(x,y)=(0.240628,10.6573)
2028:(x,y)=(0.567911,10.7494)
2029:(x,y)=(0.831984,10.5353)
2030:(x,y)=(1.09222,10.3165)
2031:(x,y)=(1.02793,9.98259)
2032:(x,y)=(1.34987,9.87325)
2033:(x,y)=(1.29445,10.2087)
2034:(x,y)=(1.4705,9.91783)
2035:(x,y)=(1.80943,9.89079)
2036:(x,y)=(1.49375,9.7645)
2037:(x,y)=(1.15906,9.70464)
2038:(x,y)=(1.49885,9.71667)
2039:(x,y)=(1.19975,9.55498)
2040:(x,y)=(0.908101,9.72974)
2041:(x,y)=(0.739835,10.0252)
2042:(x,y)=(0.992168,10.2531)
2043:(x,y)=(1.16822,9.96219)
2044:(x,y)=(1.17574,9.62227)
2045:(x,y)=(1.47625,9.7813)
2046:(x,y)=(1.31855,10.0825)
2047:(x,y)=(1.65515,10.1305)
2048:(x,y)=(1.56739,9.80203)
2049:(x,y)=(1.44252,9.48579)
2050:(x,y)=(1.77609,9.42002)
2051:(x,y)=(2.10571,9.33664)
2052:(x,y)=(2.33691,9.58593)
2053:(x,y)=(2.67558,9.61598)
2054:(x,y)=(2.60832,9.94926)
2055:(x,y)=(2.37274,10.1944)
2056:(x,y)=(2.62906,10.4178)
2057:(x,y)=(2.92958,10.5768)
2058:(x,y)=(3.23286,10.7305)
2059:(x,y)=(2.96319,10.9376)
2060:(x,y)=(3.15937,11.2153)
2061:(x,y)=(3.21477,11.5507)
2062:(x,y)=(3.03361,11.263)
2063:(x,y)=(2.94876,11.5923)
2064:(x,y)=(2.62983,11.7101)
2065:(x,y)=(2.94979,11.5951)
2066:(x,y)=(2.99031,11.9327)
2067:(x,y)=(3.32946,11.9567)
2068:(x,y)=(3.644,12.0858)
2069:(x,y)=(3.723,12.4165)
2070:(x,y)=(3.97735,12.1909)
2071:(x,y)=(3.78612,12.472)
2072:(x,y)=(3.58505,12.7462)
2073:(x,y)=(3.66699,12.4162)
2074:(x,y)=(3.79187,12.1)
2075:(x,y)=(3.46379,12.0107)
2076:(x,y)=(3.59426,11.6968)
2077:(x,y)=(3.25427,11.6938)
2078:(x,y)=(3.09925,11.3912)
2079:(x,y)=(3.30031,11.6653)
2080:(x,y)=(3.58228,11.4754)
2081:(x,y)=(3.31632,11.6872)
2082:(x,y)=(3.39532,12.0179)
2083:(x,y)=(3.62652,12.2672)
2084:(x,y)=(3.91343,12.0847)
2085:(x,y)=(3.94198,12.4235)
2086:(x,y)=(3.61552,12.3285)
2087:(x,y)=(3.8214,12.5991)
2088:(x,y)=(3.75711,12.2652)
2089:(x,y)=(4.09578,12.2953)
2090:(x,y)=(3.99071,12.6186)
2091:(x,y)=(4.3254,12.5588)
2092:(x,y)=(4.56098,12.8039)
2093:(x,y)=(4.89965,12.834)
2094:(x,y)=(5.17113,12.6293)
2095:(x,y)=(5.03789,12.9421)
2096:(x,y)=(5.31296,12.7423)
2097:(x,y)=(5.05467,12.9634)
2098:(x,y)=(4.83243,12.7061)
2099:(x,y)=(4.50357,12.7924)
2100:(x,y)=(4.81925,12.6661)
2101:(x,y)=(4.90409,12.9953)
2102:(x,y)=(5.05374,12.69)
2103:(x,y)=(5.03118,13.0293)
2104:(x,y)=(5.19154,12.7295)
2105:(x,y)=(5.47352,12.5395)
2106:(x,y)=(5.77403,12.6985)
2107:(x,y)=(5.75748,13.0381)
2108:(x,y)=(5.47384,13.2256)
2109:(x,y)=(5.78485,13.0882)
2110:(x,y)=(6.10679,12.9789)
2111:(x,y)=(5.8734,12.7317)
2112:(x,y)=(5.68467,12.4489)
2113:(x,y)=(5.65312,12.1103)
2114:(x,y)=(5.98121,12.0211)
2115:(x,y)=(6.32056,12.0001)
2116:(x,y)=(6.62519,11.8491)
2117:(x,y)=(6.87139,11.6146)
2118:(x,y)=(7.05256,11.3269)
2119:(x,y)=(7.28597,11.0797)
2120:(x,y)=(7.36497,11.4103)
2121:(x,y)=(7.43518,11.0777)
2122:(x,y)=(7.23655,10.8017)
2123:(x,y)=(7.34448,10.4793)
2124:(x,y)=(7.29204,10.1434)
2125:(x,y)=(7.18985,9.8191)
2126:(x,y)=(7.51794,9.72989)
2127:(x,y)=(7.33678,9.44217)
2128:(x,y)=(7.39218,9.77763)
2129:(x,y)=(7.69128,9.61595)
2130:(x,y)=(7.36242,9.70225)
2131:(x,y)=(7.1838,9.99155)
2132:(x,y)=(6.86385,9.87652)
2133:(x,y)=(7.15236,10.0564)
2134:(x,y)=(7.08807,9.72255)
2135:(x,y)=(7.41978,9.79717)
2136:(x,y)=(7.35843,10.1316)
2137:(x,y)=(7.3449,9.79185)
2138:(x,y)=(7.68442,9.8099)
2139:(x,y)=(7.8065,10.1272)
2140:(x,y)=(7.808,9.78724)
2141:(x,y)=(8.14416,9.83819)
2142:(x,y)=(7.9359,9.56945)
2143:(x,y)=(8.22908,9.39728)
2144:(x,y)=(8.56903,9.4033)
2145:(x,y)=(8.27285,9.23634)
2146:(x,y)=(8.0622,9.50323)
2147:(x,y)=(7.74225,9.3882)
2148:(x,y)=(7.9079,9.09128)
2149:(x,y)=(8.24768,9.10331)
2150:(x,y)=(7.91411,9.03753)
2151:(x,y)=(7.66791,8.80303)
2152:(x,y)=(7.91411,8.56854)
2153:(x,y)=(7.60686,8.42296)
2154:(x,y)=(7.45722,8.11766)
2155:(x,y)=(7.67947,7.86036)
2156:(x,y)=(7.85807,8.14966)
2157:(x,y)=(7.98015,8.46699)
2158:(x,y)=(7.65633,8.36336)
2159:(x,y)=(7.60091,8.69881)
2160:(x,y)=(7.89101,8.52148)
2161:(x,y)=(8.21573,8.62225)
2162:(x,y)=(8.00274,8.35723)
2163:(x,y)=(7.6717,8.27968)
2164:(x,y)=(7.61036,8.6141)
2165:(x,y)=(7.94737,8.5691)
2166:(x,y)=(8.28396,8.61709)
2167:(x,y)=(8.06172,8.35978)
2168:(x,y)=(8.11118,8.69616)
2169:(x,y)=(7.8259,8.5112)
2170:(x,y)=(8.04585,8.77047)
2171:(x,y)=(7.86469,8.48275)
2172:(x,y)=(8.12297,8.70386)
2173:(x,y)=(7.79915,8.60022)
2174:(x,y)=(7.54681,8.82809)
2175:(x,y)=(7.23114,8.7018)
2176:(x,y)=(7.2567,8.36277)
2177:(x,y)=(6.96818,8.54265)
2178:(x,y)=(6.93664,8.20412)
2179:(x,y)=(6.83445,7.87984)
2180:(x,y)=(7.07433,8.12079)
2181:(x,y)=(6.8757,7.84484)
2182:(x,y)=(7.08398,7.5761)
2183:(x,y)=(7.11852,7.91434)
2184:(x,y)=(7.02496,7.58747)
2185:(x,y)=(7.34878,7.48384)
2186:(x,y)=(7.68845,7.46881)
2187:(x,y)=(7.45947,7.21748)
2188:(x,y)=(7.48801,7.55628)
2189:(x,y)=(7.3094,7.84558)
2190:(x,y)=(7.43986,7.53161)
2191:(x,y)=(7.13008,7.67173)
2192:(x,y)=(7.14963,7.33229)
2193:(x,y)=(7.09719,6.99636)
2194:(x,y)=(7.39771,7.15539)
2195:(x,y)=(7.42625,7.49419)
2196:(x,y)=(7.23255,7.21477)
2197:(x,y)=(6.89255,7.21476)
2198:(x,y)=(6.84904,6.87755)
2199:(x,y)=(6.6994,6.57225)
2200:(x,y)=(6.93928,6.81321)
2201:(x,y)=(7.14034,7.08739)
2202:(x,y)=(7.03815,6.76311)
2203:(x,y)=(7.09059,6.42718)
2204:(x,y)=(7.31282,6.6845)
2205:(x,y)=(7.48628,6.97692)
2206:(x,y)=(7.28281,6.70453)
2207:(x,y)=(6.95109,6.77913)
2208:(x,y)=(6.62636,6.87989)
2209:(x,y)=(6.31911,6.73431)
2210:(x,y)=(6.62239,6.888)
2211:(x,y)=(6.56104,7.22242)
2212:(x,y)=(6.36981,7.50354)
2213:(x,y)=(6.19119,7.79284)
2214:(x,y)=(6.27603,8.12208)
2215:(x,y)=(6.60565,8.0387)
2216:(x,y)=(6.55618,8.37508)
2217:(x,y)=(6.77843,8.11777)
2218:(x,y)=(6.87199,7.7909)
2219:(x,y)=(7.07548,7.51852)
2220:(x,y)=(6.84427,7.7678)
2221:(x,y)=(6.92911,8.09704)
2222:(x,y)=(7.16686,7.85399)
2223:(x,y)=(7.38909,8.11131)
2224:(x,y)=(7.31302,7.77993)
2225:(x,y)=(7.48648,8.07235)
2226:(x,y)=(7.81682,8.15282)
2227:(x,y)=(8.15383,8.10782)
2228:(x,y)=(8.16135,7.76791)
2229:(x,y)=(8.40123,8.00886)
2230:(x,y)=(8.45961,7.67391)
2231:(x,y)=(8.1474,7.80852)
2232:(x,y)=(8.01416,8.12133)
2233:(x,y)=(7.86181,8.42529)
2234:(x,y)=(8.1965,8.36543)
2235:(x,y)=(8.53645,8.37145)
2236:(x,y)=(8.58591,8.70783)
2237:(x,y)=(8.60244,9.04743)
2238:(x,y)=(8.78361,8.75972)
2239:(x,y)=(8.45258,8.68217)
2240:(x,y)=(8.12697,8.58429)
2241:(x,y)=(8.07454,8.24835)
2242:(x,y)=(7.77984,8.41792)
2243:(x,y)=(7.55988,8.67718)
2244:(x,y)=(7.87666,8.80067)
2245:(x,y)=(8.21023,8.7349)
2246:(x,y)=(8.39394,9.021)
2247:(x,y)=(8.65989,9.23282)
2248:(x,y)=(8.70935,9.5692)
2249:(x,y)=(8.39957,9.70932)
2250:(x,y)=(8.09103,9.85217)
2251:(x,y)=(7.75805,9.92089)
2252:(x,y)=(8.024,10.1327)
2253:(x,y)=(8.28807,9.91856)
2254:(x,y)=(8.10945,10.2079)
2255:(x,y)=(8.23992,9.89389)
2256:(x,y)=(8.57652,9.94188)
2257:(x,y)=(8.23717,9.92082)
2258:(x,y)=(7.93388,10.0745)
2259:(x,y)=(8.04181,9.75209)
2260:(x,y)=(7.72726,9.88115)
2261:(x,y)=(7.90587,10.1705)
2262:(x,y)=(7.56748,10.1374)
2263:(x,y)=(7.26419,10.2911)
2264:(x,y)=(7.44024,10.0002)
2265:(x,y)=(7.43573,10.3402)
2266:(x,y)=(7.19584,10.5811)
2267:(x,y)=(6.85745,10.5481)
2268:(x,y)=(7.14109,10.7356)
2269:(x,y)=(6.80242,10.7656)
2270:(x,y)=(7.1297,10.8577)
2271:(x,y)=(6.83061,10.696)
2272:(x,y)=(6.49285,10.657)
2273:(x,y)=(6.53637,10.3198)
2274:(x,y)=(6.82328,10.1374)
2275:(x,y)=(7.04094,9.87616)
2276:(x,y)=(7.23466,9.59675)
2277:(x,y)=(6.91083,9.49311)
2278:(x,y)=(6.58611,9.59387)
2279:(x,y)=(6.88662,9.7529)
2280:(x,y)=(7.22077,9.81573)
2281:(x,y)=(7.1015,9.49733)
2282:(x,y)=(6.77342,9.40811)
2283:(x,y)=(6.53353,9.64906)
2284:(x,y)=(6.70699,9.94148)
2285:(x,y)=(6.3696,9.98349)
2286:(x,y)=(6.59184,9.72619)
2287:(x,y)=(6.87212,9.91866)
2288:(x,y)=(7.20781,9.86474)
2289:(x,y)=(6.98785,10.124)
2290:(x,y)=(6.67932,10.2669)
2291:(x,y)=(6.8828,9.99447)
2292:(x,y)=(6.60424,9.79952)
2293:(x,y)=(6.27952,9.90027)
2294:(x,y)=(6.23601,9.56307)
2295:(x,y)=(6.34962,9.24261)
2296:(x,y)=(6.03284,9.36609)
2297:(x,y)=(6.26183,9.11477)
2298:(x,y)=(6.02409,8.87171)
2299:(x,y)=(6.3351,8.73433)
2300:(x,y)=(6.18816,9.04094)
2301:(x,y)=(6.52476,9.08893)
2302:(x,y)=(6.25147,9.2912)
2303:(x,y)=(6.53003,9.09626)
2304:(x,y)=(6.35142,9.38556)
2305:(x,y)=(6.22933,9.70289)
2306:(x,y)=(6.07431,9.40028)
2307:(x,y)=(6.40077,9.30528)
2308:(x,y)=(6.58951,9.02248)
2309:(x,y)=(6.34331,8.78798)
2310:(x,y)=(6.65433,8.65061)
2311:(x,y)=(6.92761,8.85289)
2312:(x,y)=(6.94716,8.51345)
2313:(x,y)=(6.99365,8.85025)
2314:(x,y)=(7.31257,8.96812)
2315:(x,y)=(7.65172,8.99217)
2316:(x,y)=(7.87847,9.24552)
2317:(x,y)=(7.64948,8.99419)
2318:(x,y)=(7.51073,9.30459)
2319:(x,y)=(7.83959,9.3909)
2320:(x,y)=(8.05725,9.1297)
2321:(x,y)=(7.82604,9.37898)
2322:(x,y)=(7.84858,9.71823)
2323:(x,y)=(7.70164,10.0248)
2324:(x,y)=(7.55743,9.71694)
2325:(x,y)=(7.85362,9.54999)
2326:(x,y)=(8.10188,9.7823)
2327:(x,y)=(8.34176,10.0233)
2328:(x,y)=(8.37031,10.3621)
2329:(x,y)=(8.69225,10.2527)
2330:(x,y)=(8.9982,10.401)
2331:(x,y)=(9.11464,10.7204)
2332:(x,y)=(8.98418,10.4065)
2333:(x,y)=(8.91989,10.0726)
2334:(x,y)=(8.73618,10.3587)
2335:(x,y)=(9.05186,10.2324)
2336:(x,y)=(9.19334,10.5416)
2337:(x,y)=(9.12019,10.8736)
2338:(x,y)=(9.31391,10.5942)
2339:(x,y)=(9.6273,10.4624)
2340:(x,y)=(9.86288,10.7075)
2341:(x,y)=(9.74079,11.0248)
2342:(x,y)=(9.40081,11.0218)
2343:(x,y)=(9.24311,11.3231)
2344:(x,y)=(9.31035,11.6563)
2345:(x,y)=(9.3389,11.9951)
2346:(x,y)=(9.54954,12.262)
2347:(x,y)=(9.53601,11.9223)
2348:(x,y)=(9.35229,12.2084)
2349:(x,y)=(9.41363,12.5428)
2350:(x,y)=(9.55785,12.2349)
2351:(x,y)=(9.74659,11.9521)
2352:(x,y)=(9.41555,11.8746)
2353:(x,y)=(9.70246,11.6921)
2354:(x,y)=(9.5316,11.3982)
2355:(x,y)=(9.42082,11.7196)
2356:(x,y)=(9.61945,11.4437)
2357:(x,y)=(9.80063,11.156)
2358:(x,y)=(9.90855,10.8336)
2359:(x,y)=(9.61537,10.6614)
2360:(x,y)=(9.72613,10.9828)
2361:(x,y)=(10.0534,11.075)
2362:(x,y)=(10.1866,11.3878)
2363:(x,y)=(10.5237,11.3428)
2364:(x,y)=(10.6143,11.6705)
2365:(x,y)=(10.3324,11.4805)
2366:(x,y)=(10.4847,11.7844)
2367:(x,y)=(10.8066,11.6751)
2368:(x,y)=(10.8944,11.3466)
2369:(x,y)=(11.1321,11.1036)
2370:(x,y)=(10.8004,11.1782)
2371:(x,y)=(10.6589,11.4873)
2372:(x,y)=(10.6244,11.8256)
2373:(x,y)=(10.9517,11.9177)
2374:(x,y)=(11.112,11.6179)
2375:(x,y)=(10.9733,11.9283)
2376:(x,y)=(11.2535,12.1207)
2377:(x,y)=(11.5497,11.9538)
2378:(x,y)=(11.8643,12.0829)
2379:(x,y)=(11.765,12.408)
2380:(x,y)=(11.4659,12.2464)
2381:(x,y)=(11.5594,11.9195)
2382:(x,y)=(11.5579,11.5795)
2383:(x,y)=(11.6428,11.9087)
2384:(x,y)=(11.305,11.8697)
2385:(x,y)=(11.5295,11.6144)
2386:(x,y)=(11.4273,11.2901)
2387:(x,y)=(11.1151,11.4247)
2388:(x,y)=(11.438,11.5312)
2389:(x,y)=(11.1595,11.3362)
2390:(x,y)=(11.2871,11.6514)
2391:(x,y)=(11.1456,11.9605)
2392:(x,y)=(11.2871,11.6514)
2393:(x,y)=(11.61,11.7579)
2394:(x,y)=(11.8741,11.5437)
2395:(x,y)=(11.6682,11.8143)
2396:(x,y)=(12.0039,11.7604)
2397:(x,y)=(11.8707,12.0732)
2398:(x,y)=(12.1698,11.9115)
2399:(x,y)=(12.4887,12.0293)
2400:(x,y)=(12.2343,11.8037)
2401:(x,y)=(12.5429,11.9466)
2402:(x,y)=(12.5083,12.2848)
2403:(x,y)=(12.5128,12.6248)
2404:(x,y)=(12.5742,12.9592)
2405:(x,y)=(12.8839,13.0993)
2406:(x,y)=(13.195,12.9619)
2407:(x,y)=(13.2593,12.6281)
2408:(x,y)=(12.9269,12.5564)
2409:(x,y)=(13.0205,12.2295)
2410:(x,y)=(13.0877,12.5628)
2411:(x,y)=(13.1163,12.9016)
2412:(x,y)=(12.8829,12.6544)
2413:(x,y)=(13.1665,12.8419)
2414:(x,y)=(13.1861,12.5024)
2415:(x,y)=(13.4852,12.3408)
2416:(x,y)=(13.7051,12.6)
2417:(x,y)=(13.3778,12.6921)
2418:(x,y)=(13.6511,12.8944)
2419:(x,y)=(13.3187,12.8227)
2420:(x,y)=(13.4436,12.5065)
2421:(x,y)=(13.2994,12.1986)
2422:(x,y)=(13.247,11.8627)
2423:(x,y)=(13.3577,12.1841)
2424:(x,y)=(13.6977,12.1901)
2425:(x,y)=(13.3704,12.2822)
2426:(x,y)=(13.7101,12.2672)
2427:(x,y)=(13.8208,12.5887)
2428:(x,y)=(13.6739,12.8953)
2429:(x,y)=(13.6544,12.5558)
2430:(x,y)=(13.4783,12.265)
2431:(x,y)=(13.6913,11.9999)
2432:(x,y)=(14.0123,12.1121)
2433:(x,y)=(14.1202,11.7897)
2434:(x,y)=(13.7913,11.876)
2435:(x,y)=(13.7359,12.2115)
2436:(x,y)=(13.4036,12.1398)
2437:(x,y)=(13.2198,12.4259)
2438:(x,y)=(13.5035,12.6134)
2439:(x,y)=(13.2812,12.3561)
2440:(x,y)=(13.5958,12.4851)
2441:(x,y)=(13.2558,12.4821)
2442:(x,y)=(13.5218,12.694)
2443:(x,y)=(13.6494,13.0091)
2444:(x,y)=(13.3316,12.8884)
2445:(x,y)=(13.5374,13.159)
2446:(x,y)=(13.557,12.8195)
2447:(x,y)=(13.8032,12.5851)
2448:(x,y)=(14.1394,12.636)
2449:(x,y)=(14.4263,12.4536)
2450:(x,y)=(14.7099,12.6411)
2451:(x,y)=(14.7114,12.3011)
2452:(x,y)=(14.7189,11.9611)
2453:(x,y)=(15.0009,11.7712)
2454:(x,y)=(14.6668,11.834)
2455:(x,y)=(14.7888,12.1513)
2456:(x,y)=(14.9801,12.4324)
2457:(x,y)=(14.7938,12.7169)
2458:(x,y)=(15.0689,12.5171)
2459:(x,y)=(15.0704,12.1771)
2460:(x,y)=(14.9262,11.8692)
2461:(x,y)=(14.6409,11.6842)
2462:(x,y)=(14.5885,11.3483)
2463:(x,y)=(14.3361,11.5761)
2464:(x,y)=(14.1838,11.8801)
2465:(x,y)=(14.5102,11.7851)
2466:(x,y)=(14.7414,12.0344)
2467:(x,y)=(14.6027,12.3448)
2468:(x,y)=(14.5861,12.6844)
2469:(x,y)=(14.5278,12.3494)
2470:(x,y)=(14.8625,12.2896)
2471:(x,y)=(15.1697,12.144)
2472:(x,y)=(14.8424,12.2361)
2473:(x,y)=(14.6638,12.5254)
2474:(x,y)=(14.7859,12.8427)
2475:(x,y)=(15.0193,12.5955)
2476:(x,y)=(14.6846,12.5356)
2477:(x,y)=(14.6771,12.1957)
2478:(x,y)=(14.8924,12.4589)
2479:(x,y)=(15.2305,12.4949)
2480:(x,y)=(15.1197,12.8163)
2481:(x,y)=(14.8952,12.561)
2482:(x,y)=(14.6893,12.8316)
2483:(x,y)=(15.0103,12.9438)
2484:(x,y)=(15.3477,12.9858)
2485:(x,y)=(15.3642,13.3254)
2486:(x,y)=(15.0433,13.4376)
2487:(x,y)=(14.8909,13.7415)
2488:(x,y)=(15.1695,13.5466)
2489:(x,y)=(15.2572,13.2181)
2490:(x,y)=(15.5919,13.1583)
2491:(x,y)=(15.6384,13.4951)
2492:(x,y)=(15.9783,13.4861)
2493:(x,y)=(15.9918,13.1463)
2494:(x,y)=(15.7355,13.3697)
2495:(x,y)=(15.5296,13.6403)
2496:(x,y)=(15.294,13.8854)
2497:(x,y)=(15.5902,13.7185)
2498:(x,y)=(15.2502,13.7185)
2499:(x,y)=(15.019,13.9677)
2500:(x,y)=(14.9255,13.6409)
2501:(x,y)=(14.8176,13.3185)
2502:(x,y)=(14.6955,13.6358)
2503:(x,y)=(14.3882,13.4902)
2504:(x,y)=(14.1241,13.276)
2505:(x,y)=(14.4635,13.255)
2506:(x,y)=(14.5571,12.9281)
2507:(x,y)=(14.2414,12.8018)
2508:(x,y)=(13.9019,12.8199)
2509:(x,y)=(14.2238,12.7105)
2510:(x,y)=(14.0933,12.3965)
2511:(x,y)=(14.3457,12.6244)
2512:(x,y)=(14.0063,12.6034)
2513:(x,y)=(14.0108,12.9433)
2514:(x,y)=(14.0692,12.6084)
2515:(x,y)=(14.3236,12.3828)
2516:(x,y)=(14.0733,12.1527)
2517:(x,y)=(14.0447,12.4915)
2518:(x,y)=(14.2624,12.2303)
2519:(x,y)=(14.102,11.9304)
2520:(x,y)=(14.0289,12.2625)
2521:(x,y)=(13.7745,12.0369)
2522:(x,y)=(14.0101,12.282)
2523:(x,y)=(14.3174,12.1364)
2524:(x,y)=(14.259,11.8015)
2525:(x,y)=(14.596,11.7565)
2526:(x,y)=(14.2875,11.8993)
2527:(x,y)=(14.6147,11.9915)
2528:(x,y)=(14.9207,12.1397)
2529:(x,y)=(15.0371,12.4592)
2530:(x,y)=(15.3505,12.3273)
2531:(x,y)=(15.355,12.6673)
2532:(x,y)=(15.2644,12.995)
2533:(x,y)=(15.5716,12.8494)
2534:(x,y)=(15.3754,13.1271)
2535:(x,y)=(15.5251,12.8218)
2536:(x,y)=(15.2141,12.6844)
2537:(x,y)=(15.5471,12.7532)
2538:(x,y)=(15.4477,13.0783)
2539:(x,y)=(15.1167,13.0008)
2540:(x,y)=(14.8565,12.782)
2541:(x,y)=(14.7629,12.4551)
2542:(x,y)=(15.1007,12.4161)
2543:(x,y)=(14.9324,12.7115)
2544:(x,y)=(14.6722,12.4927)
2545:(x,y)=(15.0092,12.4477)
2546:(x,y)=(14.6872,12.3384)
2547:(x,y)=(14.6348,12.0024)
2548:(x,y)=(14.3001,11.9426)
2549:(x,y)=(14.6006,12.1016)
2550:(x,y)=(14.4456,11.799)
2551:(x,y)=(14.6678,12.0563)
2552:(x,y)=(14.3279,12.0623)
2553:(x,y)=(14.6498,11.953)
2554:(x,y)=(14.723,12.285)
2555:(x,y)=(14.5495,12.5774)
2556:(x,y)=(14.2548,12.747)
2557:(x,y)=(14.3367,12.417)
2558:(x,y)=(14.0211,12.2907)
2559:(x,y)=(14.342,12.4029)
2560:(x,y)=(14.166,12.1121)
2561:(x,y)=(14.2767,12.4335)
2562:(x,y)=(14.0757,12.7077)
2563:(x,y)=(13.7751,12.8667)
2564:(x,y)=(13.8007,12.5277)
2565:(x,y)=(14.1406,12.5187)
2566:(x,y)=(14.3268,12.8031)
2567:(x,y)=(14.4656,13.1135)
2568:(x,y)=(14.3105,12.8109)
2569:(x,y)=(13.9706,12.8169)
2570:(x,y)=(13.8049,12.52)
2571:(x,y)=(13.9072,12.1957)
2572:(x,y)=(14.236,12.282)
2573:(x,y)=(14.1629,12.6141)
2574:(x,y)=(14.4212,12.8352)
2575:(x,y)=(14.1426,12.6402)
2576:(x,y)=(13.9514,12.9214)
2577:(x,y)=(13.736,13.1845)
2578:(x,y)=(13.7676,12.8459)
2579:(x,y)=(13.4359,12.9205)
2580:(x,y)=(13.2276,12.6518)
2581:(x,y)=(13.344,12.9712)
2582:(x,y)=(13.6837,12.9562)
2583:(x,y)=(13.9784,13.1258)
2584:(x,y)=(14.0574,13.4565)
2585:(x,y)=(14.3521,13.626)
2586:(x,y)=(14.3416,13.9659)
2587:(x,y)=(14.1017,14.2068)
2588:(x,y)=(13.7817,14.0918)
2589:(x,y)=(13.555,14.3451)
2590:(x,y)=(13.215,14.3421)
2591:(x,y)=(12.8839,14.2646)
2592:(x,y)=(12.5478,14.3155)
2593:(x,y)=(12.7264,14.6048)
2594:(x,y)=(12.9705,14.8415)
2595:(x,y)=(12.6353,14.8984)
2596:(x,y)=(12.9731,14.8594)
2597:(x,y)=(12.9595,14.5196)
2598:(x,y)=(12.94,14.1802)
2599:(x,y)=(12.7958,13.8723)
2600:(x,y)=(13.056,13.6535)
2601:(x,y)=(13.2546,13.3775)
2602:(x,y)=(13.488,13.1303)
2603:(x,y)=(13.5405,12.7944)
2604:(x,y)=(13.5179,13.1336)
2605:(x,y)=(13.1783,13.1186)
2606:(x,y)=(13.0647,12.7981)
